,count_pos_tweets,count_neg_tweets,ratio_pos_tweets,average_lenContent,average_replyCount,average_retweetCount,average_likeCount,average_quoteCount,average_followerCount,average_friendCount,average_pos,average_neu,average_neg,average_compound,count_all,count_hasLinks,count_hasMedia,count_isRetweeted,count_isQuoted,count_hasHashtags,count_verified
2020-05-03,53.0,44.0,0.5463917525773195,225.2357723577236,20.089430894308943,99.97560975609755,314.6341463414634,8.097560975609756,415073.5447154472,2366.268292682927,0.1268861788617886,0.7725447154471545,0.1005447154471545,0.05257479674796751,123.0,27.0,51.0,0.0,10.0,61.0,0.0
2020-05-04,54.0,45.0,0.5454545454545454,229.55652173913043,37.84347826086957,156.1478260869565,501.6608695652174,24.547826086956523,192996.9043478261,4797.295652173913,0.1341826086956522,0.7580521739130434,0.10775652173913047,0.05089999999999998,115.0,20.0,44.0,0.0,15.0,68.0,0.0
2020-05-05,60.0,40.0,0.6,239.52136752136752,22.23076923076923,98.64102564102564,392.96581196581195,9.025641025641026,405663.8461538461,3285.076923076923,0.14688888888888893,0.75717094017094,0.09592307692307689,0.13669658119658118,117.0,30.0,53.0,0.0,4.0,68.0,0.0
2020-05-06,57.0,31.0,0.6477272727272727,224.71134020618555,23.432989690721648,115.05154639175258,347.63917525773195,12.34020618556701,453424.94845360826,7661.381443298969,0.17324742268041238,0.7268556701030927,0.09990721649484534,0.1679742268041236,97.0,23.0,38.0,0.0,10.0,63.0,0.0
2020-05-07,49.0,39.0,0.5568181818181818,230.5151515151515,33.95959595959596,150.1010101010101,466.72727272727275,22.404040404040405,265800.9797979798,4357.464646464647,0.15732323232323236,0.7213737373737373,0.12132323232323229,0.06925757575757574,99.0,27.0,40.0,0.0,9.0,62.0,0.0
2020-05-08,54.0,23.0,0.7012987012987013,228.12087912087912,53.9010989010989,93.12087912087912,341.8021978021978,14.362637362637363,390086.6703296703,3919.6263736263736,0.14343956043956038,0.7608241758241756,0.09573626373626375,0.1364901098901099,91.0,14.0,40.0,0.0,12.0,43.0,0.0
2020-05-09,68.0,29.0,0.7010309278350515,227.71929824561403,21.04385964912281,82.6842105263158,345.70175438596493,7.9298245614035086,617391.701754386,6726.6140350877195,0.17346491228070174,0.7384824561403507,0.08807894736842106,0.1906324561403509,114.0,28.0,58.0,0.0,11.0,68.0,0.0
2020-05-10,61.0,23.0,0.7261904761904762,243.87234042553192,56.0531914893617,155.61702127659575,629.0,16.95744680851064,834594.6489361703,5690.702127659574,0.16792553191489362,0.7462553191489362,0.08577659574468087,0.20491276595744687,94.0,21.0,43.0,0.0,7.0,69.0,0.0
2020-05-11,69.0,51.0,0.575,230.93103448275863,34.03448275862069,150.7448275862069,470.0827586206897,19.917241379310344,413964.7586206897,8226.248275862068,0.1489172413793104,0.7503931034482758,0.10069655172413793,0.10607379310344822,145.0,31.0,63.0,0.0,17.0,72.0,0.0
2020-05-12,74.0,42.0,0.6379310344827587,232.50381679389312,40.50381679389313,131.65648854961833,606.9236641221374,12.664122137404581,592427.854961832,3187.9312977099235,0.1599312977099237,0.7430763358778629,0.09696183206106872,0.18257938931297718,131.0,27.0,48.0,0.0,10.0,77.0,0.0
2020-05-13,54.0,29.0,0.6506024096385542,224.89690721649484,22.49484536082474,80.0,338.3917525773196,10.030927835051546,230310.29896907217,6740.670103092783,0.17869072164948452,0.7237835051546391,0.09753608247422677,0.15161443298969077,97.0,21.0,45.0,0.0,14.0,58.0,0.0
2020-05-14,75.0,50.0,0.6,233.69014084507043,22.58450704225352,121.79577464788733,405.9154929577465,10.619718309859154,423700.6338028169,6599.922535211268,0.1453239436619718,0.7443309859154933,0.11033098591549295,0.09044507042253518,142.0,32.0,67.0,0.0,12.0,85.0,0.0
2020-05-15,68.0,49.0,0.5811965811965812,237.62773722627736,22.437956204379564,81.17518248175182,306.7810218978102,7.489051094890511,652930.4598540146,5657.941605839416,0.1372992700729928,0.7568102189781022,0.10589781021897811,0.09731897810218978,137.0,33.0,62.0,0.0,12.0,82.0,0.0
2020-05-16,68.0,28.0,0.7083333333333334,231.8148148148148,27.314814814814813,77.97222222222223,382.1203703703704,8.194444444444445,384062.60185185185,3518.0925925925926,0.15878703703703703,0.7541111111111113,0.08708333333333333,0.19035648148148146,108.0,19.0,59.0,0.0,7.0,66.0,0.0
2020-05-17,54.0,38.0,0.5869565217391305,241.34615384615384,59.73076923076923,198.0,817.5769230769231,18.817307692307693,427409.33653846156,5025.7307692307695,0.14467307692307696,0.7625769230769228,0.0927307692307692,0.13664230769230767,104.0,28.0,42.0,0.0,11.0,50.0,0.0
